u	v	length
15664	13095	72.741
15665	15669	41.656
15665	15663	40.886
15665	2828	141.51100000000002
15666	1692	20.631
15667	34687	29.89
15667	15666	38.343
15668	15672	79.232
15668	15664	79.031
15668	18003	253.10199999999998
15669	15665	41.656
15669	15670	20.392
15670	15669	20.392
15671	35920	200.517
15672	20046	169.044
15672	9169	79.031
15672	15668	79.232
15673	5575	76.197
15673	1801	76.493
15673	10134	197.461
15674	20417	169.289
15674	15677	78.829
15674	9169	79.376
15675	53063	76.291
15675	11223	234.63899999999998
15676	16762	76.571
15677	18009	252.781
15677	15680	79.19
15677	15674	78.829
15678	4120	110.908
15678	25350	160.082
15679	53268	48.981
15679	15682	189.145
15679	53099	215.87
15679	30940	367.144
15680	20422	169.182
15680	7522	78.973
15680	15677	79.19
15681	51594	45.588
15681	33568	220.93
15682	51594	52.742
15682	15679	189.145
15682	35711	139.19
15683	15686	79.37
15683	777	85.333
15683	26237	237.668
15684	3679	31.357
15685	18012	252.311
15685	15690	79.189
15685	9219	85.102
15686	15687	78.889
15686	15683	79.37
15686	55247	237.737
15687	15691	79.369
15687	15686	78.889
15687	18456	237.418
15688	38740	41.699
15689	46413	219.05599999999998
15690	15692	90.532
15690	18886	181.99599999999998
15690	15685	79.189
15691	15693	79.016
15691	15687	79.369
15691	41463	210.944
15692	21003	134.08
15692	15695	33.582
15692	15690	90.532
15693	15430	97.334
15693	15691	79.016
15693	25679	237.75
15694	15697	156.586
15695	13428	75.415
15695	15692	33.582
15695	21932	169.35399999999998
15696	41966	33.308
15696	15430	90.337
15696	23370	234.923
15697	15694	156.586
15697	46346	91.644
15697	44117	88.119
15698	30591	17.816
15698	13428	258.65700000000004
15698	20805	197.73999999999998
15699	21263	27.871
15699	7965	170.024
15700	18905	220.026
15700	53494	211.144
15700	15699	80.739
15701	19468	217.175
15701	23419	170.32
15701	30591	85.498
15702	7870	73.136
15702	12246	111.86099999999999
15703	14255	287.429
15703	18001	92.147
15703	15705	282.723
15703	55261	141.905
15704	14975	82.585
15704	46340	79.342
15704	53508	170.045
15705	15703	282.723
15705	18006	92.708
15705	8344	244.80599999999998
15706	51028	74.273
15706	1361	166.417
15707	55268	139.96099999999998
15707	8344	245.96699999999998
15707	16676	94.155
15707	15709	322.03999999999996
15708	11755	109.452
15708	15215	126.638
15708	15901	79.867
15708	52184	80.735
15709	15711	80.633
15709	15707	322.03999999999996
15710	15746	8.483
15710	13601	82.936
15711	55276	140.713
15711	15709	80.633
15711	11662	79.483
15712	28506	67.738
15712	49965	201.67
15713	15723	77.386
15713	15779	10.632
15714	15717	10.48
15714	51816	52.558
15715	51081	87.744
15715	7948	162.991
15716	20563	37.669
15717	13601	201.249
15717	15713	11.024
15718	15741	10.934000000000001
15718	15754	79.267
15719	51820	202.355
15719	52289	78.95
15720	15722	80.69
15720	43794	47.656
15720	17277	139.789
15721	51822	203.114
15721	15740	83.004
15722	17279	145.346
15722	44260	48.838
15723	15718	79.996
15723	15710	198.049
15724	14937	82.41499999999999
15724	5397	79.08
15725	55288	141.15
15725	15728	82.451
15725	10005	79.052
15726	15940	767.395
15726	39167	2215.183
15727	15202	78.788
15727	15787	8.799
15728	1	141.337
15728	13082	81.465
15728	15725	82.451
15729	15731	78.96
15729	15767	9.403
15730	17373	75.68
15730	15733	186.94
15731	15768	78.803
15731	15775	199.34799999999998
15732	743	61.602000000000004
15733	15159	148.362
15733	28096	74.487
15733	43652	77.65
15734	15209	79.267
15734	15755	8.605
15735	13537	85.081
15735	13082	79.565
15735	3	141.011
15736	19718	81.45
15737	19718	84.282
15737	15736	28.036
15738	51824	202.554
15738	15769	8.602
15738	15771	82.261
15739	15743	152.966
15739	16540	75.748
15740	51824	204.308
15740	15734	82.806
15740	15761	8.308
15741	10408	201.135
15741	15778	79.991
15742	15787	78.8
15742	15202	8.693999999999999
15743	43711	76.097
15743	47513	204.524
15744	15769	82.255
15744	6151	198.607
15745	3658	82.012
15745	13549	79.052
15745	6	143.463
15746	15748	79.259
15746	6176	198.61499999999998
15747	15749	26.113
15747	36061	276.682
15747	43921	448.24800000000005
15748	24870	77.639
15748	15210	9.006
15749	15747	26.113
15749	15749	304.24
15749	15749	304.24
15750	10	143.456
15750	15753	79.061
15750	3658	82.18
15751	15721	9.413
15751	10411	79.84
15752	17260	76.893
15752	43727	77.442
15752	26600	151.545
15753	253	80.322
15753	15750	79.061
15754	51819	10.269
15754	24869	201.307
15754	15741	79.942
15755	15761	82.886
15755	18394	190.99
15756	52289	10.055
15756	15783	79.06
15757	15782	79.142
15757	15203	9.824
15758	5691	87.95100000000001
15758	5693	34.819
15759	11037	80.764
15759	16441	77.527
15760	14035	197.745
15761	15751	82.926
15761	18395	188.539
15761	15740	8.308
15762	7806	211.509
15762	12253	282.829
15762	17314	79.017
15762	43765	79.078
15763	5258	202.933
15763	51829	79.858
15764	13598	58.642
15764	17697	107.189
15765	15784	9.213000000000001
15765	5258	79.462
15766	7806	148.665
15766	17317	79.345
15766	43770	79.174
15767	15734	198.631
15767	51824	84.11500000000001
15768	15763	79.302
15768	15207	8.799
15769	6172	203.203
15769	15738	8.602
15769	15757	83.342
15770	15772	90.727
15770	17267	75.522
15770	43774	93.491
15771	15719	79.164
15771	15744	8.711
15772	348	95.648
15773	27937	81.375
15773	18340	95.541
15774	15755	79.273
15774	15209	7.904999999999999
15775	15203	79.138
15775	15782	8.896999999999998
15776	15777	59.713
15776	15791	22.914
15776	15788	121.623
15777	15776	59.713
15777	21373	121.342
15777	16718	46.754999999999995
15778	15779	77.531
15778	15723	10.418
15779	15714	10.745
15779	48427	204.033
15780	46777	184.394
15780	34296	377.586
15781	53886	49.013
15781	43798	76.014
15782	15765	79.398
15782	6163	197.596
15783	15744	79.151
15783	15719	8.914
15784	15768	198.64
15784	15775	79.386
15785	15767	78.952
15785	15731	8.184
15786	17323	75.93499999999999
15786	43672	75.925
15786	53454	168.287
15786	51867	193.69400000000002
15787	15774	79.144
15787	18392	194.96699999999998
15788	21373	63.999
15788	15776	121.623
15788	39230	71.535
15789	35593	199.536
15789	40295	85.764
15789	43751	79.156
15790	30035	78.96
15790	43754	79.172
15790	47658	219.568
15790	35593	263.265
15791	15776	22.914
15792	55189	55.619
15793	47593	41.378
15793	43922	62.878
15793	36990	91.737
15793	33606	149.00900000000001
15794	53131	30.038
15795	14019	243.322
15795	6441	77.162
15795	1107	83.788
15796	23020	169.324
15796	54693	29.239
15796	3325	73.384
15797	15799	24.994
15798	8291	121.374
15799	6729	110.266
15800	49067	246.889
15800	2340	50.356
15800	17295	63.198
15800	43802	79.791
15801	40684	81.733
15801	44435	97.699
15801	44430	235.215
15802	53559	257.577
15803	50193	52.29
15803	45192	88.787
15803	23212	111.472
15804	17083	78.618
15805	44430	77.934
15805	35952	79.723
15805	17377	132.832
15806	52706	29.305
15806	5369	62.604
15806	20188	66.467
15807	20667	75.549
15808	29047	83.221
15809	15808	116.03
15809	29896	80.99
15810	20356	63.237
15810	55115	40.373999999999995
15811	7444	653.698
15811	40965	319.46200000000005
15812	15810	168.244
15812	20358	76.495
15813	53074	73.329
15814	28242	10.596
15814	668	81.11999999999999
15815	669	80.624
15815	29269	78.624
15815	15814	236.77800000000002
15816	15817	21.918
15817	15816	21.918
15817	15818	91.931
15818	24914	167.171
15818	15817	91.931
15818	1923	112.918
15819	27155	77.336
15820	15824	77.794
15820	26198	114.795
15821	15831	96.02
15821	22952	128.889
15822	46920	36.34
15822	15837	76.287
15823	15834	191.676
15823	15825	62.07599999999999
15823	48920	28.064
15824	3738	77.751
15824	20494	153.686
15825	15827	87.97699999999999
15825	40706	211.147
15826	13758	68.072
15826	4385	112.39099999999999
15827	15841	36.225
15827	15829	134.48000000000002
15828	15833	54.774
15828	28447	78.679
15828	26208	80.25
15829	15821	40.45
15830	39049	78.235
15830	42571	178.965
15831	22951	86.58
15831	24951	95.923
15832	24544	80.87899999999999
15832	15840	122.482
15833	15828	54.774
15834	15823	191.676
15834	20117	19.95
15834	15836	71.612
15835	45887	77.593
15835	20733	86.724
15836	34134	139.298
15836	20614	340.226
15837	15838	13.139
15837	21555	29.945999999999998
15838	15839	22.664
15838	15837	13.139
15838	52571	112.611
15839	15838	22.664
15840	28438	78.933
15840	15842	92.579
15840	15832	122.482
15841	10315	80.18
15841	15827	36.225
15841	34128	142.935
15842	26209	79.901
15842	15840	92.579
15842	26609	78.233
15843	53055	60.30500000000001
15844	15855	349.39
15845	15846	145.212
15845	24693	25.768
15845	14122	31.769999999999996
15846	1680	26.31
15846	14720	21.478
15846	15845	145.212
15847	29067	84.569
15847	13347	80.32600000000001
15848	28436	49.484
15848	15842	100.469
15849	26211	79.1
15849	28439	79.236
15849	15848	140.331
15850	15404	90.779
15850	14681	129.546
15851	15849	237.729
15851	26212	79.036
15851	28441	79.165
15852	15851	237.422
15852	26213	79.295
15852	28442	79.118
15853	31037	166.07000000000002
15853	21919	121.90299999999999
15853	39117	116.067
15853	33877	102.308
15854	16031	72.18100000000001
15854	39020	433.051
15855	46937	96.425
15855	15860	154.347
15856	28443	79.047
15856	26217	79.103
15856	15852	237.509
15857	11221	44.693
15857	11224	41.741
15858	26220	79.161
15858	28444	79.048
15858	15856	237.76
15859	15861	81.845
15859	22323	81.64
15859	24927	139.273
15860	15873	61.699
15860	46817	247.643
15861	15864	83.318
15861	15859	81.845
15861	19928	136.216
15862	53780	166.437
15862	39648	170.38400000000001
15863	15862	78.911
15863	53783	204.765
15864	15861	83.318
15864	15865	165.62
15864	20306	79.737
15864	20303	60.332
15865	22324	78.487
15865	23953	70.751
15865	15868	147.261
15866	15863	79.846
15866	53675	65.619
15867	19238	173.131
15867	28059	56.723
15868	22326	79.83
15868	23425	79.112
15868	15869	191.248
15868	15865	147.261
15869	22286	79.241
15869	15871	227.142
15869	22287	79.433
15869	15868	191.248
15870	15844	111.667
15870	9719	40.717
15870	46965	93.85600000000001
15871	22486	77.818
15871	22327	79.222
15871	15872	251.792
15872	20586	200.227
15872	15871	251.792
15873	15860	61.699
15874	12616	231.179
15874	24593	86.297
15874	24596	85.085
15875	12008	119.78900000000002
15876	10843	60.779
15876	10840	72.984
15877	15874	237.175
15877	21798	85.004
15877	21796	84.792
15878	53914	24.691
15878	53972	46.295
15878	15880	69.97800000000001
15879	54539	240.095
15879	26047	84.692
15879	25015	85.298
15880	36672	178.21
15880	32982	82.993
15880	25742	74.852
15880	15878	69.97800000000001
15881	16798	79.184
15881	16795	78.993
15881	50843	247.16
15881	10843	240.667
15882	15885	33.602
15882	32990	36.271
15882	36752	368.556
15883	21456	79.061
15883	21453	79.162
15883	13861	240.101
15883	50843	180.035
15884	52351	258.15
15884	26185	78.928
15884	25031	79.259
15885	15882	33.602
15886	15884	237.509
15886	26186	79.452
15886	25036	79.26
15887	51995	237.452
15887	26187	78.93
15887	25038	79.366
15888	15887	237.854
15888	26188	79.157
15888	25041	79.28
15889	26191	79.088
15889	25043	79.227
15889	15888	237.19
15890	13965	123.307
15891	29110	264.714
15891	19183	79.787
15891	578	55.587
15892	33314	366.124
15892	45720	342.717
15893	46872	79.399
15893	46859	79.273
15893	583	235.429
15894	12510	237.604
15894	26196	79.422
15894	25045	79.23
15895	15894	237.277
15895	26167	79.284
15895	25047	79.301
15896	1096	240.518
15896	19391	78.988
15896	19388	79.424
15897	28954	12.1
15897	28926	112.702
15897	15968	76.30199999999999
15898	54899	11.394
15898	15964	120.528
15898	54901	116.598
15899	15896	173.042
15899	19789	41.809
15899	19787	115.724
15900	26686	11.814
15900	15931	80.574
15900	10525	11.507000000000001
15901	19124	126.681
15901	11770	111.676
15901	15708	79.867
15901	53512	77.27
15902	15906	64.169
15902	15975	226.76299999999998
15903	11838	99.538
15903	10028	162.23200000000003
15903	17150	111.84
15903	9321	243.291
15904	15943	85.949
15904	31482	125.017
15905	52824	81.801
15906	15904	76.574
15906	47598	113.64800000000001
15907	10950	81.266
15907	15970	80.954
15908	11838	76.05
15908	15913	76.171
15908	7951	193.91
15908	18485	218.482
15909	6631	294.289
15910	13612	33.45
15910	4870	61.131
15911	15990	13.466000000000001
15911	54901	212.50300000000001
15911	15942	170.88700000000003
15912	30059	1505.8710000000003
15913	15915	75.996
15913	15908	76.171
15913	24582	210.654
15913	24580	218.587
15914	30201	54.668
15914	15983	11.163
15915	15913	75.996
15915	8416	76.503
15915	7960	203.097
15915	25887	218.435
15916	7001	175.461
15916	15917	96.559
15917	15910	45.875
15917	4872	81.034
15918	51749	82.022
15919	15916	112.222
15919	4876	149.548
15920	47595	98.93599999999999
15920	15937	69.657
15921	14478	80.009
15921	43858	209.011
15921	5244	109.362
15922	14840	74.111
15922	15929	77.062
15922	7967	200.83999999999997
15922	20892	215.187
15923	14894	107.25399999999999
15923	15927	165.416
15924	7010	175.617
15924	12290	80.774
15925	32466	11.889
15925	32468	111.942
15925	15902	13.347000000000001
15926	30201	12.061
15926	15983	55.068
15927	14891	78.559
15927	30073	11.907
15927	15972	177.546
15928	3276	111.12
15928	28427	42.274
15929	15922	77.062
15929	21888	213.66699999999997
15930	15928	79.914
15930	4883	316.609
15931	12574	12.666
15931	15926	39.851
15932	25484	90.126
15933	15914	14.654
15934	18336	132.163
15934	15930	70.509
15935	36004	11.925
15935	36005	58.962
15935	15991	218.842
15936	17553	62.429
15936	14971	104.34300000000002
15936	6228	49.494
15937	32466	11.385
15938	34297	123.645
15938	15923	73.16300000000001
15939	4893	319.897
15939	15934	72.96
15940	50916	196.41400000000002
15940	14356	110.39000000000001
15941	11439	80.068
15941	15954	11.655
15942	15933	11.029
15942	15898	274.563
15943	15975	9.466
15943	28930	61.565
15943	15907	130.83
15944	15939	97.749
15944	15773	60.401
15945	40708	141.362
15946	29527	78.496
15946	15947	36.969
15947	36129	82.34
15947	35427	178.04
15948	4332	12.01
15948	4335	48.163
15948	15935	205.868
15949	15950	56.398
15949	7599	39.479
15950	15949	56.398
15951	49473	83.899
15951	48960	67.62
15951	19491	139.272
15952	15897	10.79
15953	49904	63.107
15953	15986	63.342999999999996
15954	29881	12.53
15954	15900	151.147
15955	15956	119.206
15955	17065	125.977
15955	24413	84.047
15956	15958	116.955
15956	3782	58.803
15957	45303	12.024
15957	45304	101.40700000000001
15957	15925	82.27600000000001
15958	15965	111.98
15958	17061	125.091
15958	26448	79.445
15959	28041	12.94
15959	15962	53.107
15959	14463	67.303
15960	40849	109.695
15961	15966	124.304
15961	27148	157.972
15961	30578	69.529
15962	15959	53.107
15963	25732	10.495
15963	25733	156.579
15964	1854	11.032
15964	15963	194.919
15965	26809	31.009
15966	43856	105.013
15966	15961	124.304
15966	13479	113.815
15966	1383	138.755
15967	30202	10.467
15967	31223	73.292
15967	15920	162.39700000000002
15968	21203	12.201
15968	21204	120.3
15968	15948	82.122
15969	15932	23.885
15969	15911	170.461
15970	15989	10.545
15970	49906	94.535
15970	15952	70.679
15971	3843	9.907
15971	19944	149.96800000000002
15972	14890	79.687
15972	26826	12.2
15972	15957	127.28800000000001
15973	10547	75.545
15973	19056	270.34
15974	15978	256.533
15974	21363	85.485
15974	21362	83.845
15975	15943	9.466
15975	30202	12.231
15975	15989	212.123
15976	51612	70.745
15977	33355	204.779
15977	8081	948.37
15977	50482	83.358
15978	863	263.233
15978	18642	84.844
15979	34165	81.772
15979	24043	76.051
15979	15982	158.551
15980	23117	43.621
15980	15985	23.052
15981	15984	230.159
15981	22167	84.886
15981	23023	84.439
15982	34166	79.203
15982	40610	127.531
15982	30955	79.27300000000001
15983	15990	177.99
15983	15942	14.65
15984	19905	85.654
15984	19902	84.251
15984	3101	111.25
15985	23132	138.132
15986	49904	10.447
15986	49900	37.78
15986	15967	211.919
15987	15988	286.952
15987	12337	79.137
15987	950	78.70400000000001
15988	2209	243.335
15988	952	79.453
15988	12338	79.224
15989	15970	10.545
15989	49904	12.147
15989	15952	68.604
15990	26688	93.546
15990	15911	13.466000000000001
15990	15932	167.536
15991	45350	10.723
15991	45352	70.749
15991	15941	57.26
15992	49858	76.369
15992	49857	212.971
15993	34171	79.267
15993	47865	153.545
15994	12342	78.994
15994	959	79.062
15994	15997	260.963
15995	21376	233.024
15996	53657	74.996
15996	15999	164.467
15996	48530	212.91500000000002
15996	7240	153.24399999999997
15997	15998	268.494
15997	12343	79.164
15997	14036	79.065
15998	16001	251.884
15998	12345	79.167
15998	975	79.084
15999	15996	164.467
15999	53658	27.478
15999	8976	255.82
16000	11167	80.481
16000	9811	240.27800000000002
16000	41406	81.09400000000001
16001	16006	118.286
16001	12346	78.792
16001	976	79.263
16002	52213	81.176
16002	52212	38.2
16002	43582	129.675
16003	16004	69.403
16004	32612	49.064
16004	32611	48.293
16004	16003	69.403
16005	13545	217.492
16005	29357	77.615
16006	979	79.716
16006	47029	95.99600000000001
16006	12347	79.793
16007	16008	78.045
16007	22270	84.421
16007	2943	98.529
16008	16010	77.545
16008	2948	107.96
16009	3504	71.871
16010	9799	182.242
16010	13268	59.408
16010	18900	79.303
16011	34828	163.494
16011	23356	92.81
16012	4485	161.52
16012	13271	78.611
16012	25840	79.53
16013	25262	8.916
16013	25267	76.60499999999999
16013	13648	233.34400000000002
16014	3444	81.583
16014	13273	103.695
16014	3442	40.315
16015	13567	450.8900000000001
16015	32844	217.831
16016	39947	9.412
16016	25257	73.367
16017	41520	76.005
16018	49336	100.188
16018	50049	77.84100000000001
16019	16020	41.627
16019	29454	47.730000000000004
16019	25202	159.893
16019	12440	14.529
16020	29454	18.459
16020	17180	59.739
16020	14351	72.717
16021	48360	76.387
16021	53076	76.252
16021	40648	124.958
16022	49230	232.322
16022	19779	78.099
16022	12425	79.211
16022	17684	97.306
16023	16025	96.50200000000001
16024	16021	158.626
16024	48362	76.189
16024	53075	76.253
16025	6707	109.911
16025	23733	70.25399999999999
16025	14314	187.956
16026	19280	82.062
16027	16024	289.383
16027	7229	39.543
16027	53073	37.334
16028	16026	232.727
16028	11306	82.61
16029	16028	183.955
16029	25763	82.274
16030	8724	241.773
16030	11314	82.365
16031	35209	78.368
16031	18257	221.08
16031	14815	242.024
16031	15854	72.18100000000001
16032	46759	79.643
16032	35209	79.036
16032	14811	241.142
16032	19538	226.058
16033	16030	241.728
16033	17971	82.191
16034	15658	110.017
16035	13099	33.253
16035	9128	78.934
16035	16034	145.266
16036	16105	14.928
16037	32511	4.256
16037	21720	56.001999999999995
16037	931	60.847
16038	7210	166.975
16038	22642	79.084
16038	9133	79.0
16039	16041	285.816
16039	41239	103.039
16039	6575	88.926
16039	15638	84.081
16040	18013	43.966
16040	7113	26.041
16041	16039	285.816
16041	27927	84.795
16041	6574	79.347
16042	40103	88.605
16042	31120	30.064
16042	45757	61.573
16043	24857	83.54
16043	16045	234.126
16044	9716	79.024
16044	26625	210.026
16044	46819	82.502
16045	52237	205.044
16045	22907	83.665
16045	19307	105.145
16046	53140	33.842
16046	53138	33.534
16046	22180	309.13199999999995
16047	51217	199.38299999999998
16048	17070	84.334
16048	17069	58.707
16048	16052	48.783
16049	22347	46.286
16049	53138	49.833
16049	22180	89.071
16049	16051	201.688
16050	49389	103.511
16050	47011	107.634
16050	9742	106.588
16051	12001	90.011
16051	22182	90.369
16051	9472	234.75
16051	16049	201.688
16052	16053	267.179
16052	24858	79.334
16053	7474	268.295
16053	24860	79.186
16053	19311	95.491
16054	24861	78.989
16054	19312	100.741
16054	16056	268.063
16055	54739	57.06
16056	16061	226.181
16056	24863	78.714
16056	19314	99.834
16057	22119	261.672
16057	16060	85.84
16057	53378	145.067
16058	19782	34.221
16058	36163	149.754
16058	19780	54.417
16059	34468	174.055
16059	9746	79.147
16060	16063	82.751
16060	16057	85.84
16060	16956	261.863
16060	16953	261.536
16061	10957	88.882
16061	19316	111.037
16061	23156	87.098
16062	54739	39.814
16063	25638	261.453
16063	22188	261.674
16063	10675	73.057
16063	16060	82.751
16064	32420	71.032
16064	20548	41.559000000000005
16065	45618	120.564
16066	19322	100.07
16067	14783	106.936
16068	24902	79.278
16068	16066	114.093
16068	19323	100.919
16069	22191	261.417
16069	9840	81.313
16069	50339	79.751
16070	16068	268.468
16070	24904	79.321
16070	19324	100.298
16071	27502	38.634
16072	27502	103.507
16072	48410	186.227
16072	19943	153.812
16073	24037	258.213
16073	15505	81.87700000000001
16073	14083	83.77199999999999
16074	9731	106.575
16074	24896	33.17
16074	11631	303.73
16075	11818	62.410000000000004
16075	11816	31.392
16075	12760	53.801
16076	16077	112.92
16077	16076	112.92
16077	24867	87.09
16077	16085	268.522
16077	19332	92.478
16078	25456	262.025
16078	3691	80.78699999999999
16078	7541	80.97
16079	16105	26.842
16080	24739	200.438
16080	8209	11.064
16080	20035	77.72200000000001
16081	30820	159.855
16081	16082	111.709
16081	53990	88.263
16082	16084	82.214
16082	53992	82.355
16082	16081	111.709
16082	30820	174.476
16083	33625	15.447
16083	12009	127.809
16083	46743	99.218
16083	14881	99.717
16084	16089	78.92
16084	16082	82.214
16084	26008	173.342
16085	24875	87.175
16085	3158	93.232
16085	4615	136.484
16086	24876	86.898
16086	19338	92.781
16086	16092	287.038
16087	12010	130.498
16087	46743	59.013
16087	13252	81.106
16088	16347	186.383
16088	16139	71.376
16088	16139	147.798
16089	33768	79.197
16089	16084	78.92
16089	28863	141.071
16090	13063	86.961
16090	13252	74.457
16091	26173	100.854
16091	31141	8.597
16092	19341	92.257
16092	24877	86.782
16092	2241	240.975
16093	19345	92.711
16093	16096	164.572
16094	53246	171.615
16094	50761	160.311
16094	16140	32.926
16094	2199	73.262
16095	13415	58.491
16095	16098	125.723
16095	13063	106.464
16096	24879	83.005
16096	19346	103.456
16096	14471	91.63
16097	45043	75.432
16097	10261	37.65
16097	45054	60.184
16098	11043	85.59199999999998
16098	16095	125.723
16098	25218	27.660000000000004
16099	42281	129.51
16099	3682	73.82000000000001
16099	39052	87.319
16100	23465	77.864
16100	23462	33.506
16100	2255	153.86
16100	31634	199.773
16101	25531	16.638
16101	13083	158.078
16101	1977	35.058
16102	16104	268.384
16102	24880	79.565
16102	29663	78.578
16103	42295	121.199
16103	44408	199.421
16103	3682	110.731
16104	16106	253.091
16104	24883	78.983
16104	29718	79.166
16105	14700	89.228
16105	16036	14.928
16105	16079	26.842
16106	16108	238.495
16106	24884	79.053
16106	29785	79.05
16107	24954	38.262
16107	50725	125.715
16108	16109	45.599
16108	24885	79.036
16108	28556	63.613
16109	16111	222.554
16109	24887	82.494
16110	17410	97.043
16110	8176	81.12200000000001
16111	24889	79.09
16111	29897	79.106
16111	16114	238.09199999999998
16112	7480	15.218
16113	36787	219.04299999999998
16113	211	112.516
16113	16140	59.55200000000001
16113	38086	87.38000000000001
16114	24890	78.993
16114	29911	79.192
16114	16116	237.933
16115	43677	155.584
16116	29978	79.111
16116	16117	81.1
16116	24895	78.826
16117	16118	75.99
16118	32008	121.318
16118	16121	80.294
16119	4864	43.518
16119	16125	44.295
16119	49248	152.806
16120	16122	85.068
16120	7354	92.812
16120	21380	151.875
16121	32004	96.653
16121	30002	79.513
16122	18663	106.999
16122	13156	89.717
16122	16120	85.068
16123	3750	92.586
16123	13156	103.936
16123	18429	106.885
16124	45459	75.464
16124	51336	100.055
16124	2524	80.74
16125	39884	16.721
16125	16119	44.295
16125	46038	89.592
16126	16127	10.32
16126	2255	221.791
16126	7932	92.523
16127	16126	10.32
16127	2256	156.021
16127	10701	45.482
16128	14742	95.774
16128	8422	82.036
16128	18756	75.949
16128	761	190.398
16129	16136	69.935
16129	7622	85.40199999999999
16129	33444	80.836
16130	8949	78.472
16130	4844	76.322
16130	49458	73.509
16130	51332	99.892
16131	16139	30.487
16131	16149	307.614
16131	9081	138.143
16132	32511	48.041
16132	16134	94.00800000000001
16132	39069	38.534
16133	15216	272.314
16133	2404	104.945
16134	16135	90.685
16134	17379	110.648
16134	16132	94.008
16135	40043	92.495
16135	16134	90.685
16135	39888	109.899
16136	16129	69.935
16136	15213	248.163
16137	9085	16.389000000000003
16137	51113	168.02300000000002
16137	14581	69.191
16138	5406	76.043
16138	40043	77.889
16138	21724	109.9
16138	28133	109.78699999999999
16139	16131	30.487
16139	16347	123.476
16139	16088	147.798
16139	16088	71.376
16140	211	125.433
16140	16113	59.55199999999999
16140	16094	32.926
16141	8650	223.23
16141	17906	96.47
16141	22132	23.561
16142	22620	109.922
16142	21728	111.545
16142	5406	92.241
16143	16144	60.599
16143	17116	117.651
16144	16143	60.599
16145	48435	141.88600000000002
16146	20393	149.85199999999998
16147	14682	17.751
16147	14697	21.227
16147	7068	100.833
16148	52684	28.971
16148	23735	78.314
16149	51120	6.156
16149	51119	20.258
16149	16131	307.6139999999999
16150	36116	36.528
16151	16154	81.673
16151	4763	79.537
16151	29072	225.139
16152	34353	13.295
16152	28524	74.79
16152	15227	180.11700000000002
16153	19856	104.399
16153	15223	117.659
16154	16151	81.673
16154	29472	187.717
16154	52697	77.07400000000001
16155	16153	135.733
16155	28516	24.808
16156	52590	75.112
16156	43300	61.878
16157	22655	6.826
16157	22431	143.389
16157	14676	102.501
16158	24104	25.265
16158	19227	92.49
16159	2233	8.183
16159	24102	24.443
16159	12855	242.47299999999998
16160	52334	219.947
16160	9009	79.31
16160	23736	79.03
16161	16160	237.568
16161	23738	78.944
16161	9012	79.311
16162	18058	91.64
16162	52402	32.519
16162	10802	62.516
16163	51976	237.577
16163	9016	79.311
16163	23743	79.067
16164	16156	69.867
16164	16168	111.864
16164	38575	80.547
16164	19600	110.502
16165	41501	76.876
16165	16169	15.158
16165	30193	94.204
16166	40076	52.787000000000006
16167	16163	237.306
16167	9021	79.364
16167	23746	78.893
16168	16164	111.864
16168	26063	166.809
16169	41504	84.478
16169	16165	15.158
16169	14850	59.811
16170	16167	237.451
16170	9023	79.225
16170	23749	79.173
16171	13768	263.539
16171	9026	79.419
16171	19171	78.947
16172	9032	79.69
16172	46810	78.997
16172	16171	254.40099999999998
16173	51262	274.959
16173	47101	81.131
16173	28481	81.167
16174	310	107.309
16174	54252	160.167
16175	29401	82.624
16175	16173	167.736
16175	47103	81.936
16176	9037	79.194
16176	23758	79.246
16176	12494	237.798
16177	16180	80.282
16177	17423	147.179
16178	47104	80.305
16178	24535	81.187
16178	16175	100.276
16179	16176	237.261
16179	9039	79.229
16179	23761	79.089
16180	6544	154.072
16180	16181	80.187
16180	21172	136.862
16181	6548	148.167
16181	10166	79.261
16182	28894	55.746
16182	12597	132.733
16183	6552	126.013
16183	16186	107.219
16184	16313	14.353
16184	22870	97.31900000000002
16185	32775	79.034
16185	9001	79.225
16185	16188	237.337
16186	23673	74.519
16187	47082	84.27600000000001
16187	10371	74.362
16188	9002	79.112
16188	21771	79.543
16188	54520	237.144
16189	40794	72.554
16190	28342	89.904
16190	9754	76.295
16191	29397	78.852
16191	47093	79.41900000000001
16191	38885	200.966
16192	9003	80.453
16192	20475	101.867
16192	54249	247.589
16193	50213	186.979
16193	6530	75.028
16194	47095	79.42699999999999
16194	29398	78.845
16194	16191	201.311
16195	16322	248.764
16196	34645	41.569
16196	31754	32.334
16196	34646	49.20400000000001
16196	29399	113.707
16197	5921	80.487
16197	39766	79.493
16198	16202	79.216
16198	47219	99.619
16198	13355	82.352
16199	12062	104.013
16199	6557	74.368
16199	17319	107.759
16200	53147	146.106
16200	19989	218.752
16200	19988	80.238
16201	5642	287.327
16201	16201	72.59399999999998
16202	52064	78.951
16202	16198	79.21600000000001
16202	16966	306.38000000000005
16202	25376	331.79499999999996
16203	16207	108.45
16203	26195	106.685
16203	6568	75.281
16204	16208	82.473
16204	52064	78.948
16204	16965	415.143
16204	25377	437.82599999999996
16205	29400	84.92
16206	528	106.471
16206	27126	40.754
16206	10743	162.46599999999998
16207	16209	69.682
16207	22986	107.333
16208	17648	77.43
16208	17645	80.265
16208	16241	461.92799999999994
16208	16204	82.473
16209	3404	35.667
